Unnamed: 0,name,link,category,subcategory,price,size,condition,color,views,interested
157,Adidas white samba OG taille 42,https://www.vinted.fr/hommes/chaussures/baskets/2912097964-adidas-white-samba-og-taille-42,Chaussures,Baskets,110.0,42,5,BLANC,183,2.0
158,Emsemble,https://www.vinted.fr/enfants/garcons/autres/2840022823-emsemble,Garçons,Autres,8.0,10 ANS / 134-140 CM,3,"NOIR, GRIS",48,1.0
159,Jogging Juventus neuf,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2892656203-jogging-juventus-neuf,Vêtements de sport & accessoires,Survêtements,30.0,S,3,"NOIR, GRIS",47,4.0
160,Addidas Ozweego,https://www.vinted.fr/hommes/chaussures/baskets/2905654410-addidas-ozweego,Chaussures,Baskets,45.0,44,4,TURQUOISE,39,3.0
161,Baskets bébé fille adidas minnie,https://www.vinted.fr/enfants/filles/chaussures/baskets/baskets-a-scratch/2824439674-baskets-bebe-fille-adidas-minnie,Baskets,Baskets à scratch,15.0,19,3,"ROUGE, BLANC",176,15.0
162,Survet gris adidas,https://www.vinted.fr/femmes/vetements/vetements-de-sport/survetements/2886577844-survet-gris-adidas,Vêtements de sport,Survêtements,3.5,XS / 34 / 6,2,GRIS,140,13.0
163,Ensemble survêtement Adidas neuf,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2906276734-ensemble-survetement-adidas-neuf,Garçons,Vêtements de sport,39.0,14 ANS / 158-164 CM,5,NOIR,60,3.0
164,Short Adidas Bayer Munich rétro taille XL,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/shorts/2909016599-short-adidas-bayer-munich-retro-taille-xl,Vêtements de sport & accessoires,Shorts,17.0,XL,3,"ROUGE, BLEU",213,14.0
165,Pull adidas rose,https://www.vinted.fr/ninos/ninas/jerseis-y-sudaderas/sudaderas/2880804765-pull-adidas-rose,Pulls & sweats,Pulls à capuche & sweatshirts,12.0,13 ANS / 152-158 CM,3,ROSE,34,0.0
166,Gilet zip adidas,https://www.vinted.fr/uomo/vestiti/abbigliamento-sportivo/capispalla/2864627051-gilet-zip-adidas,Vêtements de sport & accessoires,Vêtements d'extérieur,10.0,S,3,"BLEU, MARINE",38,6.0
167,Jogging adidas,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2906843882-jogging-adidas,Garçons,Vêtements de sport,25.0,9-12 MOIS / 74-80 CM,4,ORANGE,16,6.0
168,Adidas très bon état pointure 41,https://www.vinted.fr/hommes/chaussures/baskets/2909606465-adidas-tres-bon-etat-pointure-41,Chaussures,Baskets,39.0,41,3,BLANC,62,0.0
169,Basket continental 80 j,https://www.vinted.fr/femmes/chaussures/baskets-2632/2915161985-basket-continental-80-j,Chaussures,Baskets,35.0,37,5,BLANC,283,2.0
170,Baskets,https://www.vinted.fr/enfants/filles/chaussures/baskets/baskets-sans-lacets/2915920787-baskets,Baskets,Baskets sans lacets,25.0,35,3,"BLANC, ARGENTÉ",7,0.0
171,jogging adidas,https://www.vinted.fr/hommes/vetements/pantalons/jogging/2915917605-jogging-adidas,Pantalons,Jogging,30.0,S,4,ROSE,15,0.0
172,Jogging adidas vintage bleu,https://www.vinted.fr/hommes/vetements/pantalons/jogging/2917010659-jogging-adidas-vintage-bleu,Pantalons,Jogging,35.0,L,3,BLEU,38,1.0
173,Adidas campus 00s,https://www.vinted.fr/femmes/chaussures/baskets-2632/2907356219-adidas-campus-00s,Chaussures,Baskets,140.0,38,4,ROUGE,220,12.0
174,T-shirt adidas bleu,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2901497407-t-shirt-adidas-bleu,Vêtements de sport & accessoires,Hauts & t-shirts,5.0,S,5,BLEU,41,1.0
175,Veste Adidas Vintage,https://www.vinted.fr/hommes/vetements/manteaux-and-vestes/vestes/vestes-coupe-vent/2903381700-veste-adidas-vintage,Vestes,Vestes coupe-vent,35.0,S,3,"BLEU, TURQUOISE",129,18.0
176,"Adidas daim noir / blanc taille 38,5",https://www.vinted.fr/femmes/chaussures/baskets-2632/2911545225-adidas-daim-noir-blanc-taille-385,Chaussures,Baskets,5.0,38.5,1,"NOIR, BLANC",99,11.0
177,Jdogging Adidas,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2910762666-jdogging-adidas,Vêtements de sport & accessoires,Survêtements,12.0,XS,4,"NOIR, BLANC",65,2.0
178,Maillot Réal Madrid 20/21,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2873913647-maillot-real-madrid-2021,Vêtements de sport & accessoires,Hauts & t-shirts,25.0,M,4,ROSE,297,23.0
179,veste Adidas femme rétro noir taille M,https://www.vinted.fr/femmes/vetements/sweats-and-sweats-a-capuche/vestes/2907337265-veste-adidas-femme-retro-noir-taille-m,Sweats et sweats à capuche,Vestes,20.0,M / 38 / 10,3,NOIR,19,0.0
180,Veste adidas (H/F),https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/vetements-dexterieur/2904986339-veste-adidas-hf,Vêtements de sport & accessoires,Vêtements d'extérieur,4.0,S,3,"NOIR, ORANGE",89,3.0
181,Bas training Juventus,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2901840734-bas-training-juventus,Vêtements de sport & accessoires,Survêtements,20.0,M,4,"NOIR, ROUGE",94,4.0
182,Maillot Adidas Japon Samouraï,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2913528881-maillot-adidas-japon-samourai,Vêtements de sport & accessoires,Hauts & t-shirts,34.99,S,4,"NOIR, BLANC",41,5.0
183,"Gazelles blue navy, Adidas , pointure 40",https://www.vinted.fr/hommes/chaussures/baskets/2908487798-gazelles-blue-navy-adidas-pointure-40,Chaussures,Baskets,35.0,40,3,MARINE,129,2.0
184,Jogging Adidas rose pâle,https://www.vinted.fr/mulher/roupa/activewear/fatos-de-treino/2892322631-jogging-adidas-rose-pale,Vêtements de sport,Survêtements,25.0,XS / 34 / 6,4,"BLANC, ROSE",77,11.0
185,Adidas Samba Noire Vegan,https://www.vinted.fr/femmes/chaussures/baskets-2632/2917072828-adidas-samba-noire-vegan,Chaussures,Baskets,130.0,40,5,"NOIR, MARRON",29,1.0
186,Baskets Adidas Gazelle rouge,https://www.vinted.fr/hommes/chaussures/baskets/2915365282-baskets-adidas-gazelle-rouge,Chaussures,Baskets,15.0,42.5,1,"ROUGE, BLANC",87,3.0
187,🎁 ensemble Adidas 🎁,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2902180829-ensemble-adidas,Vêtements de sport & accessoires,Survêtements,50.0,XS,3,NOIR,327,7.0
188,Veste adidas sport,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2916647308-veste-adidas-sport,Vêtements de sport & accessoires,Survêtements,39.0,M,3,"ROUGE, BLANC",22,1.0
189,Sweat Adidas Vintage,https://www.vinted.fr/hommes/vetements/sweats-and-pulls-1811/2903341239-sweat-adidas-vintage,Sweats & pulls,Sweats,30.0,XL,3,"NOIR, BLANC",169,27.0
190,Baskets adidas,https://www.vinted.fr/enfants/garcons/chaussures/baskets/baskets-a-lacets/2907632936-baskets-adidas,Baskets,Baskets à lacets,7.0,33,3,"NOIR, BLANC",35,0.0
191,Ensemble bébé garçon,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2892342951-ensemble-bebe-garcon,Garçons,Vêtements de sport,7.0,6-9 MOIS / 68-74 CM,3,"NOIR, GRIS",57,5.0
192,Survêtement du Bayern,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2904568964-survetement-du-bayern,Vêtements de sport & accessoires,Survêtements,20.0,XS,3,NOIR,99,2.0
193,Sneakers / basket Adidas Yung-1 gris clair et abricot taille 38 2/3 femme,https://www.vinted.fr/femmes/chaussures/baskets-2632/2906950827-sneakers-basket-adidas-yung-1-gris-clair-et-abricot-taille-38-23-femme,Chaussures,Baskets,49.0,38,5,"GRIS, ABRICOT",168,5.0
194,Sweat Adidas,https://www.vinted.fr/hommes/vetements/sweats-and-pulls-1811/2917539320-sweat-adidas,Sweats & pulls,Sweats,35.0,L,3,BORDEAUX,2,0.0
195,Ensemble Adidas firebird,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2905954609-ensemble-adidas-firebird,Vêtements de sport & accessoires,Survêtements,100.0,S,5,ROUGE,173,5.0
196,Maillot france Zidane coupe du monde 2006,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2896973886-maillot-france-zidane-coupe-du-monde-2006,Vêtements de sport & accessoires,Hauts & t-shirts,65.0,M,3,BLEU,289,4.0
197,Ensemble addidas,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2915744203-ensemble-addidas,Vêtements de sport & accessoires,Survêtements,20.0,L,5,MARINE,67,1.0
198,Basket,https://www.vinted.fr/enfants/filles/chaussures/baskets/baskets-a-lacets/2908583813-basket,Baskets,Baskets à lacets,8.0,28,2,GRIS,37,0.0
199,Jogging gris et rose,https://www.vinted.fr/femmes/vetements/vetements-de-sport/survetements/2874025622-jogging-gris-et-rose,Vêtements de sport,Survêtements,5.0,AUTRE,3,"GRIS, ROSE",89,3.0
200,Hoodie Adidas Noir,https://www.vinted.fr/hommes/vetements/sweats-and-pulls/pulls-et-pulls-a-capuche/2677267366-hoodie-adidas-noir,Sweats & pulls,Pulls et pulls à capuche,19.0,L,1,NOIR,182,26.0
201,Pull adidas 4ans,https://www.vinted.fr/enfants/filles/pulls-and-sweats-1542/2585569487-pull-adidas-4ans,Pulls & sweats,Pulls,3.0,4 ANS / 98-104 CM,2,ROUGE,98,1.0
202,Adidas Retropy F2,https://www.vinted.fr/hommes/chaussures/baskets/2872023209-adidas-retropy-f2,Chaussures,Baskets,50.0,45.5,4,"BLEU, VERT",73,1.0
203,Teeshirt manches longues,https://www.vinted.fr/uomo/vestiti/top-e-t-shirt/t-shirt/t-shirt-a-maniche-lunghe/2906329055-teeshirt-manches-longues,T-shirts,T-shirts manches longues,13.0,XS,3,"NOIR, BLANC",41,0.0
204,Adidas bébé fille pointure 19 neuves,https://www.vinted.fr/enfants/filles/chaussures/chaussures-bebe/2861637015-adidas-bebe-fille-pointure-19-neuves,Chaussures,Chaussures bébé,9.0,19,5,MULTICOLORE,425,0.0
205,Crampon adidas,https://www.vinted.fr/hommes/chaussures/chaussures-de-sport/chaussures-de-foot/2909890015-crampon-adidas,Chaussures de sport,Chaussures de foot,15.0,42,3,"NOIR, ORANGE",109,8.0
206,Baskets Stan Smith,https://www.vinted.fr/women/shoes/trainers/2917614822-baskets-stan-smith,Chaussures,Baskets,55.0,40.5,3,"VERT, BLANC",1,0.0
207,Sweat Adidas rétro / vintage homme gris taille S,https://www.vinted.fr/hommes/vetements/sweats-and-pulls-1811/2749120775-sweat-adidas-retro-vintage-homme-gris-taille-s,Sweats & pulls,Sweats,20.0,S,3,GRIS,144,10.0
208,Pull adidas,https://www.vinted.fr/men/clothes/activewear/hoodies-and-sweatshirts/2905270281-pull-adidas,Vêtements de sport & accessoires,Pulls & sweats,25.0,S,4,CRÈME,77,1.0
209,Adidas nizza,https://www.vinted.fr/femmes/chaussures/baskets-2632/2878841528-adidas-nizza,Chaussures,Baskets,25.0,38.5,3,NOIR,60,5.0
210,Pull Adidas Brodé,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/pulls-and-sweats/2905616366-pull-adidas-brode,Vêtements de sport & accessoires,Pulls & sweats,22.0,M,3,NOIR,94,3.0
211,Ensemble adidas de survêtement,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2910561011-ensemble-adidas-de-survetement,Vêtements de sport & accessoires,Survêtements,20.0,S,3,"BLEU, TURQUOISE",41,7.0
212,yeezy 700 v3 azael,https://www.vinted.fr/hommes/chaussures/baskets/2877569331-yeezy-700-v3-azael,Chaussures,Baskets,165.0,40,4,BLANC,342,19.0
213,Adidas samba og cloud white core black,https://www.vinted.fr/femmes/chaussures/baskets-2632/2917299546-adidas-samba-og-cloud-white-core-black,Chaussures,Baskets,150.0,38,5,"NOIR, BLANC",12,1.0
214,Jogging Adidas Noir,https://www.vinted.fr/femmes/vetements/vetements-de-sport/survetements/2813316058-jogging-adidas-noir,Vêtements de sport,Survêtements,29.0,S / 36 / 8,3,NOIR,331,42.0
215,Adidas Ozelia,https://www.vinted.fr/hommes/chaussures/baskets/2907889609-adidas-ozelia,Chaussures,Baskets,80.0,44,5,"ORANGE, BLANC",119,0.0
216,Ensemble adidas noir,https://www.vinted.fr/enfants/garcons/autres/2803701842-ensemble-adidas-noir,Garçons,Autres,40.0,13 ANS / 152-158 CM,4,NOIR,78,3.0
217,Adidas cuir,https://www.vinted.fr/hommes/chaussures/chaussures-de-sport/chaussures-de-tennis/2898719460-adidas-cuir,Chaussures de sport,Chaussures de tennis,12.0,41,2,BLANC,92,0.0
218,Gilet Adidas,https://www.vinted.fr/enfants/garcons/pulls-and-sweats/gilets-zippes/2883094193-gilet-adidas,Pulls & sweats,Gilets zippés,13.0,16 ANS / 170-176 CM,4,"NOIR, ORANGE",54,0.0
219,Maillot de foot Japon,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2908005887-maillot-de-foot-japon,Vêtements de sport & accessoires,Hauts & t-shirts,40.0,L,5,MULTICOLORE,279,7.0
220,Chaussure adidas homme,https://www.vinted.fr/hommes/chaussures/chaussures-habillees/chaussures-a-lacets/2904594972-chaussure-adidas-homme,Chaussures habillées,Chaussures à lacets,7.0,44,2,BLEU,88,0.0
221,Sweat à capuche Adidas femme bleu style rétro taille S,https://www.vinted.fr/femmes/vetements/sweats-and-sweats-a-capuche-196/2906924645-sweat-a-capuche-adidas-femme-bleu-style-retro-taille-s,Sweats et sweats à capuche,Sweats & sweats à capuche,11.0,S / 36 / 8,3,BLEU,176,4.0
222,Veste Polaire sans manche adidas Réversible,https://www.vinted.fr/hommes/vetements/manteaux-and-vestes/vestes-sans-manches/2914657601-veste-polaire-sans-manche-adidas-reversible,Manteaux & vestes,Vestes sans manches,35.0,M,3,"BEIGE, BLEU",54,7.0
223,hoodie adidas adventure,https://www.vinted.fr/hommes/vetements/sweats-and-pulls-1811/2912610067-hoodie-adidas-adventure,Sweats & pulls,Sweats,19.0,S,4,"JAUNE, MARINE",44,1.0
224,Short Adidas 12 ans parfait état,https://www.vinted.fr/enfants/garcons/pantalons-and-shorts/shorts-et-pantacourts/2914118390-short-adidas-12-ans-parfait-etat,Pantalons & shorts,Shorts et pantacourts,15.0,12 ANS / 146-152 CM,3,GRIS,18,3.0
225,Adidas très bon état pointure 42,https://www.vinted.fr/hommes/chaussures/baskets/2915509270-adidas-tres-bon-etat-pointure-42,Chaussures,Baskets,39.0,42,3,NOIR,43,0.0
