Unnamed: 0,name,link,category,subcategory,price,size,condition,color,views,interested
251,Veste adidas (H/F),https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/vetements-dexterieur/2904986339-veste-adidas-hf,Vêtements de sport & accessoires,Vêtements d'extérieur,4.0,S,3,"NOIR, ORANGE",89,3.0
252,Bas training Juventus,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2901840734-bas-training-juventus,Vêtements de sport & accessoires,Survêtements,20.0,M,4,"NOIR, ROUGE",95,4.0
253,Maillot Adidas Japon Samouraï,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2913528881-maillot-adidas-japon-samourai,Vêtements de sport & accessoires,Hauts & t-shirts,34.99,S,4,"NOIR, BLANC",41,5.0
254,"Gazelles blue navy, Adidas , pointure 40",https://www.vinted.fr/hommes/chaussures/baskets/2908487798-gazelles-blue-navy-adidas-pointure-40,Chaussures,Baskets,35.0,40,3,MARINE,129,2.0
255,Jogging Adidas rose pâle,https://www.vinted.fr/mulher/roupa/activewear/fatos-de-treino/2892322631-jogging-adidas-rose-pale,Vêtements de sport,Survêtements,25.0,XS / 34 / 6,4,"BLANC, ROSE",77,11.0
256,Adidas Samba Noire Vegan,https://www.vinted.fr/femmes/chaussures/baskets-2632/2917072828-adidas-samba-noire-vegan,Chaussures,Baskets,130.0,40,5,"NOIR, MARRON",29,1.0
257,Baskets Adidas Gazelle rouge,https://www.vinted.fr/hommes/chaussures/baskets/2915365282-baskets-adidas-gazelle-rouge,Chaussures,Baskets,15.0,42.5,1,"ROUGE, BLANC",88,3.0
258,🎁 ensemble Adidas 🎁,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2902180829-ensemble-adidas,Vêtements de sport & accessoires,Survêtements,50.0,XS,3,NOIR,328,7.0
259,Veste adidas sport,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2916647308-veste-adidas-sport,Vêtements de sport & accessoires,Survêtements,39.0,M,3,"ROUGE, BLANC",22,1.0
260,Sweat Adidas Vintage,https://www.vinted.fr/hommes/vetements/sweats-and-pulls-1811/2903341239-sweat-adidas-vintage,Sweats & pulls,Sweats,30.0,XL,3,"NOIR, BLANC",169,27.0
261,Baskets adidas,https://www.vinted.fr/enfants/garcons/chaussures/baskets/baskets-a-lacets/2907632936-baskets-adidas,Baskets,Baskets à lacets,7.0,33,3,"NOIR, BLANC",36,0.0
262,Ensemble bébé garçon,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2892342951-ensemble-bebe-garcon,Garçons,Vêtements de sport,7.0,6-9 MOIS / 68-74 CM,3,"NOIR, GRIS",57,5.0
263,Survêtement du Bayern,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2904568964-survetement-du-bayern,Vêtements de sport & accessoires,Survêtements,20.0,XS,3,NOIR,99,2.0
264,Sneakers / basket Adidas Yung-1 gris clair et abricot taille 38 2/3 femme,https://www.vinted.fr/femmes/chaussures/baskets-2632/2906950827-sneakers-basket-adidas-yung-1-gris-clair-et-abricot-taille-38-23-femme,Chaussures,Baskets,49.0,38,5,"GRIS, ABRICOT",168,5.0
265,Sweat Adidas,https://www.vinted.fr/hommes/vetements/sweats-and-pulls-1811/2917539320-sweat-adidas,Sweats & pulls,Sweats,35.0,L,3,BORDEAUX,3,0.0
266,Ensemble Adidas firebird,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2905954609-ensemble-adidas-firebird,Vêtements de sport & accessoires,Survêtements,100.0,S,5,ROUGE,173,5.0
267,Maillot france Zidane coupe du monde 2006,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2896973886-maillot-france-zidane-coupe-du-monde-2006,Vêtements de sport & accessoires,Hauts & t-shirts,65.0,M,3,BLEU,289,4.0
268,Ensemble addidas,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2915744203-ensemble-addidas,Vêtements de sport & accessoires,Survêtements,20.0,L,5,MARINE,67,1.0
269,Basket,https://www.vinted.fr/enfants/filles/chaussures/baskets/baskets-a-lacets/2908583813-basket,Baskets,Baskets à lacets,8.0,28,2,GRIS,37,0.0
270,Jogging gris et rose,https://www.vinted.fr/femmes/vetements/vetements-de-sport/survetements/2874025622-jogging-gris-et-rose,Vêtements de sport,Survêtements,5.0,AUTRE,3,"GRIS, ROSE",89,3.0
271,Hoodie Adidas Noir,https://www.vinted.fr/hommes/vetements/sweats-and-pulls/pulls-et-pulls-a-capuche/2677267366-hoodie-adidas-noir,Sweats & pulls,Pulls et pulls à capuche,19.0,L,1,NOIR,182,26.0
272,Pull adidas 4ans,https://www.vinted.fr/enfants/filles/pulls-and-sweats-1542/2585569487-pull-adidas-4ans,Pulls & sweats,Pulls,3.0,4 ANS / 98-104 CM,2,ROUGE,98,1.0
273,Adidas Retropy F2,https://www.vinted.fr/hommes/chaussures/baskets/2872023209-adidas-retropy-f2,Chaussures,Baskets,50.0,45.5,4,"BLEU, VERT",73,1.0
274,Teeshirt manches longues,https://www.vinted.fr/uomo/vestiti/top-e-t-shirt/t-shirt/t-shirt-a-maniche-lunghe/2906329055-teeshirt-manches-longues,T-shirts,T-shirts manches longues,13.0,XS,3,"NOIR, BLANC",41,0.0
275,Adidas bébé fille pointure 19 neuves,https://www.vinted.fr/enfants/filles/chaussures/chaussures-bebe/2861637015-adidas-bebe-fille-pointure-19-neuves,Chaussures,Chaussures bébé,9.0,19,5,MULTICOLORE,426,0.0
276,Crampon adidas,https://www.vinted.fr/hommes/chaussures/chaussures-de-sport/chaussures-de-foot/2909890015-crampon-adidas,Chaussures de sport,Chaussures de foot,15.0,42,3,"NOIR, ORANGE",109,8.0
277,Baskets Stan Smith,https://www.vinted.fr/women/shoes/trainers/2917614822-baskets-stan-smith,Chaussures,Baskets,55.0,40.5,3,"VERT, BLANC",1,0.0
278,Sweat Adidas rétro / vintage homme gris taille S,https://www.vinted.fr/hommes/vetements/sweats-and-pulls-1811/2749120775-sweat-adidas-retro-vintage-homme-gris-taille-s,Sweats & pulls,Sweats,20.0,S,3,GRIS,144,10.0
279,Pull adidas,https://www.vinted.fr/men/clothes/activewear/hoodies-and-sweatshirts/2905270281-pull-adidas,Vêtements de sport & accessoires,Pulls & sweats,25.0,S,4,CRÈME,77,1.0
280,Adidas nizza,https://www.vinted.fr/femmes/chaussures/baskets-2632/2878841528-adidas-nizza,Chaussures,Baskets,25.0,38.5,3,NOIR,60,5.0
281,Pull Adidas Brodé,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/pulls-and-sweats/2905616366-pull-adidas-brode,Vêtements de sport & accessoires,Pulls & sweats,22.0,M,3,NOIR,94,3.0
282,Ensemble adidas de survêtement,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2910561011-ensemble-adidas-de-survetement,Vêtements de sport & accessoires,Survêtements,20.0,S,3,"BLEU, TURQUOISE",41,7.0
283,yeezy 700 v3 azael,https://www.vinted.fr/hommes/chaussures/baskets/2877569331-yeezy-700-v3-azael,Chaussures,Baskets,165.0,40,4,BLANC,343,19.0
284,🎁 ensemble Adidas 🎁,https://www.vinted.fr/femmes/vetements/vetements-de-sport/survetements/2914484992-ensemble-adidas,Vêtements de sport,Survêtements,45.0,S / 36 / 8,3,ROUGE,182,5.0
285,Adidas Forum Bold,https://www.vinted.fr/enfants/filles/chaussures/baskets/baskets-a-lacets/2869683676-adidas-forum-bold,Baskets,Baskets à lacets,40.0,38,2,"BLANC, ROSE",68,1.0
286,Veste Adidas,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/pulls-and-sweats/2909853211-veste-adidas,Vêtements de sport & accessoires,Pulls & sweats,28.0,M,3,"BLEU, CRÈME",77,0.0
287,2 survêtement garçon,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2874907386-2-survetement-garcon,Garçons,Vêtements de sport,12.0,3-6 MOIS / 62-68 CM,3,"NOIR, MULTICOLORE",29,1.0
288,Sweat Adidas Vintage,https://www.vinted.fr/hommes/vetements/sweats-and-pulls-1811/2903317697-sweat-adidas-vintage,Sweats & pulls,Sweats,35.0,L,3,GRIS,97,11.0
289,Maillot de football Algérie,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/autres/2889553231-maillot-de-football-algerie,Vêtements de sport & accessoires,Autres,15.0,S,1,"VERT, BLANC",52,1.0
290,Veste adidas,https://www.vinted.fr/enfants/filles/pulls-and-sweats/gilets-zippes/2876539291-veste-adidas,Pulls & sweats,Gilets zippés,5.0,18-24 MOIS / 86-92 CM,3,ROSE,62,8.0
291,Ensemble de jogging Adidas femme taille S,https://www.vinted.fr/femmes/vetements/vetements-de-sport/survetements/2911604174-ensemble-de-jogging-adidas-femme-taille-s,Vêtements de sport,Survêtements,38.0,S / 36 / 8,3,"NOIR, BLANC",238,2.0
292,Adidas - Jogging rouge,https://www.vinted.fr/femmes/vetements/vetements-de-sport/survetements/2531111565-adidas-jogging-rouge,Vêtements de sport,Survêtements,65.0,XXS / 32 / 4,4,"ROUGE, BLANC",15,0.0
293,Ensemble Adidas,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2831608687-ensemble-adidas,Garçons,Vêtements de sport,9.0,1-3 MOIS / 56-62 CM,3,BLEU,56,6.0
294,Tee shirt adidas,https://www.vinted.fr/femmes/vetements/hauts-and-t-shirts/t-shirts/2917289084-tee-shirt-adidas,Hauts et t-shirts,T-shirts,10.0,M / 38 / 10,3,ROUGE,1,2.0
295,Adidas bon état pointure 42,https://www.vinted.fr/hommes/chaussures/baskets/2909629285-adidas-bon-etat-pointure-42,Chaussures,Baskets,39.0,42,2,BLANC,136,2.0
296,Veste type k-way adidas,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2140985083-veste-type-k-way-adidas,Vêtements de sport & accessoires,Survêtements,7.0,S,3,"NOIR, ROUGE",237,1.0
297,Survêtement de la Juventus,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2900093935-survetement-de-la-juventus,Vêtements de sport & accessoires,Survêtements,20.0,S,3,"GRIS, BLANC",91,2.0
298,Ensemble adidas,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2916038690-ensemble-adidas,Garçons,Vêtements de sport,8.0,11 ANS / 140-146 CM,3,MARINE,20,0.0
299,Baskets adidas garçon 24,https://www.vinted.fr/enfants/garcons/chaussures/chaussures-de-sport/chaussures-de-course/2911775565-baskets-adidas-garcon-24,Chaussures de sport,Chaussures de course,15.0,24,3,"VERT, BLANC",115,3.0
300,Adidas Campus 00s,https://www.vinted.fr/heren/schoenen/sneakers/2915972081-adidas-campus-00s,Chaussures,Baskets,130.0,42.5,5,"VERT, VERT FONCÉ",33,3.0
301,Sweat capuche,https://www.vinted.fr/femmes/vetements/sweats-and-sweats-a-capuche-196/2917370302-sweat-capuche,Sweats et sweats à capuche,Sweats & sweats à capuche,20.0,XXS / 32 / 4,3,"NOIR, ROSE",1,1.0
302,Veste Adidas Vintage,https://www.vinted.fr/hommes/vetements/manteaux-and-vestes/vestes/vestes-coupe-vent/2903372364-veste-adidas-vintage,Vestes,Vestes coupe-vent,35.0,S,3,"NOIR, ROUGE",86,9.0
303,Baskets Adidas Stan Smith enfants,https://www.vinted.fr/enfants/garcons/chaussures/baskets/baskets-a-scratch/2900104625-baskets-adidas-stan-smith-enfants,Baskets,Baskets à scratch,15.0,28,1,BLANC,142,3.0
304,Jogging Adidas taille S,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2915797405-jogging-adidas-taille-s,Vêtements de sport & accessoires,Survêtements,15.0,S,3,NOIR,16,6.0
305,Crampons adidas,https://www.vinted.fr/men/shoes/sports-shoes/football-boots/2907676002-crampons-adidas,Chaussures de sport,Chaussures de foot,110.0,44,3,BLANC,550,11.0
306,Chaussure adidas,https://www.vinted.fr/hommes/chaussures/baskets/2903200166-chaussure-adidas,Chaussures,Baskets,15.0,41,2,"NOIR, BLANC",67,5.0
307,Ensemble adidas,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2845096402-ensemble-adidas,Garçons,Vêtements de sport,20.0,12 ANS / 146-152 CM,3,"NOIR, GRIS",39,7.0
308,Maillot officiel Argentine 3 étoiles Messi 2022 / official Argentina 3 star World cup Messi,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2902892467-maillot-officiel-argentine-3-etoiles-messi-2022-official-argentina-3-star-world-cup-messi,Vêtements de sport & accessoires,Hauts & t-shirts,50.0,M,5,"BLEU, BLANC",363,9.0
309,Adidas très bon état pointure 42,https://www.vinted.fr/hommes/chaussures/baskets/2909135730-adidas-tres-bon-etat-pointure-42,Chaussures,Baskets,39.0,42,3,NOIR,182,1.0
310,Short adidas,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2891291477-short-adidas,Garçons,Vêtements de sport,5.0,11 ANS / 140-146 CM,3,"NOIR, BLANC",61,1.0
311,Tee shirt garçon en taille 8; ans de la marque Adidas,https://www.vinted.fr/enfants/garcons/chemises-and-t-shirts/t-shirts/2829422263-tee-shirt-garcon-en-taille-8-ans-de-la-marque-adidas,Chemises & t-shirts,T-shirts,3.0,8 ANS / 122-128 CM,3,"NOIR, ROUGE",26,2.0
312,jogging adidas,https://www.vinted.fr/hommes/vetements/pantalons/jogging/2915917605-jogging-adidas,Pantalons,Jogging,30.0,S,4,ROSE,17,0.0
313,Jogging adidas vintage bleu,https://www.vinted.fr/hommes/vetements/pantalons/jogging/2917010659-jogging-adidas-vintage-bleu,Pantalons,Jogging,35.0,L,3,BLEU,39,1.0
314,Adidas campus 00s,https://www.vinted.fr/femmes/chaussures/baskets-2632/2907356219-adidas-campus-00s,Chaussures,Baskets,140.0,38,4,ROUGE,220,12.0
315,T-shirt adidas bleu,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2901497407-t-shirt-adidas-bleu,Vêtements de sport & accessoires,Hauts & t-shirts,5.0,S,5,BLEU,41,1.0
316,Veste Adidas Vintage,https://www.vinted.fr/hommes/vetements/manteaux-and-vestes/vestes/vestes-coupe-vent/2903381700-veste-adidas-vintage,Vestes,Vestes coupe-vent,35.0,S,3,"BLEU, TURQUOISE",129,18.0
317,"Adidas daim noir / blanc taille 38,5",https://www.vinted.fr/femmes/chaussures/baskets-2632/2911545225-adidas-daim-noir-blanc-taille-385,Chaussures,Baskets,5.0,38.5,1,"NOIR, BLANC",99,11.0
318,Jdogging Adidas,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2910762666-jdogging-adidas,Vêtements de sport & accessoires,Survêtements,12.0,XS,4,"NOIR, BLANC",65,2.0
319,Maillot Réal Madrid 20/21,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2873913647-maillot-real-madrid-2021,Vêtements de sport & accessoires,Hauts & t-shirts,25.0,M,4,ROSE,297,23.0
320,veste Adidas femme rétro noir taille M,https://www.vinted.fr/femmes/vetements/sweats-and-sweats-a-capuche/vestes/2907337265-veste-adidas-femme-retro-noir-taille-m,Sweats et sweats à capuche,Vestes,20.0,M / 38 / 10,3,NOIR,19,0.0
321,Veste adidas (H/F),https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/vetements-dexterieur/2904986339-veste-adidas-hf,Vêtements de sport & accessoires,Vêtements d'extérieur,4.0,S,3,"NOIR, ORANGE",89,3.0
322,Bas training Juventus,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2901840734-bas-training-juventus,Vêtements de sport & accessoires,Survêtements,20.0,M,4,"NOIR, ROUGE",95,4.0
323,Maillot Adidas Japon Samouraï,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2913528881-maillot-adidas-japon-samourai,Vêtements de sport & accessoires,Hauts & t-shirts,34.99,S,4,"NOIR, BLANC",41,5.0
324,"Gazelles blue navy, Adidas , pointure 40",https://www.vinted.fr/hommes/chaussures/baskets/2908487798-gazelles-blue-navy-adidas-pointure-40,Chaussures,Baskets,35.0,40,3,MARINE,129,2.0
325,Jogging Adidas rose pâle,https://www.vinted.fr/mulher/roupa/activewear/fatos-de-treino/2892322631-jogging-adidas-rose-pale,Vêtements de sport,Survêtements,25.0,XS / 34 / 6,4,"BLANC, ROSE",77,11.0
326,Adidas Samba Noire Vegan,https://www.vinted.fr/femmes/chaussures/baskets-2632/2917072828-adidas-samba-noire-vegan,Chaussures,Baskets,130.0,40,5,"NOIR, MARRON",30,1.0
327,Baskets Adidas Gazelle rouge,https://www.vinted.fr/hommes/chaussures/baskets/2915365282-baskets-adidas-gazelle-rouge,Chaussures,Baskets,15.0,42.5,1,"ROUGE, BLANC",88,3.0
328,🎁 ensemble Adidas 🎁,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2902180829-ensemble-adidas,Vêtements de sport & accessoires,Survêtements,50.0,XS,3,NOIR,328,7.0
329,Veste adidas sport,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2916647308-veste-adidas-sport,Vêtements de sport & accessoires,Survêtements,39.0,M,3,"ROUGE, BLANC",22,1.0
330,Sweat Adidas Vintage,https://www.vinted.fr/hommes/vetements/sweats-and-pulls-1811/2903341239-sweat-adidas-vintage,Sweats & pulls,Sweats,30.0,XL,3,"NOIR, BLANC",170,27.0
331,Baskets adidas,https://www.vinted.fr/enfants/garcons/chaussures/baskets/baskets-a-lacets/2907632936-baskets-adidas,Baskets,Baskets à lacets,7.0,33,3,"NOIR, BLANC",36,0.0
332,Ensemble bébé garçon,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2892342951-ensemble-bebe-garcon,Garçons,Vêtements de sport,7.0,6-9 MOIS / 68-74 CM,3,"NOIR, GRIS",58,5.0
333,Survêtement du Bayern,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2904568964-survetement-du-bayern,Vêtements de sport & accessoires,Survêtements,20.0,XS,3,NOIR,99,2.0
334,Sneakers / basket Adidas Yung-1 gris clair et abricot taille 38 2/3 femme,https://www.vinted.fr/femmes/chaussures/baskets-2632/2906950827-sneakers-basket-adidas-yung-1-gris-clair-et-abricot-taille-38-23-femme,Chaussures,Baskets,49.0,38,5,"GRIS, ABRICOT",168,5.0
335,Sweat Adidas,https://www.vinted.fr/hommes/vetements/sweats-and-pulls-1811/2917539320-sweat-adidas,Sweats & pulls,Sweats,35.0,L,3,BORDEAUX,3,0.0
336,Ensemble Adidas firebird,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2905954609-ensemble-adidas-firebird,Vêtements de sport & accessoires,Survêtements,100.0,S,5,ROUGE,173,5.0
337,Maillot france Zidane coupe du monde 2006,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2896973886-maillot-france-zidane-coupe-du-monde-2006,Vêtements de sport & accessoires,Hauts & t-shirts,65.0,M,3,BLEU,289,4.0
338,Ensemble addidas,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2915744203-ensemble-addidas,Vêtements de sport & accessoires,Survêtements,20.0,L,5,MARINE,67,1.0
339,Basket,https://www.vinted.fr/enfants/filles/chaussures/baskets/baskets-a-lacets/2908583813-basket,Baskets,Baskets à lacets,8.0,28,2,GRIS,37,0.0
340,Adidas Oznova,https://www.vinted.fr/hommes/chaussures/baskets/2917566309-adidas-oznova,Chaussures,Baskets,55.0,43,5,"BEIGE, BLANC",1,0.0
341,Pantalon survêtement,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2913488203-pantalon-survetement,Garçons,Vêtements de sport,6.0,12 ANS / 146-152 CM,2,NOIR,30,2.0
342,"Campus 00s Beige 38,5",https://www.vinted.fr/femmes/chaussures/baskets-2632/2909309881-campus-00s-beige-385,Chaussures,Baskets,200.0,38.5,5,"BEIGE, BLANC",214,11.0
343,Adidas Gazelle Decon neuves,https://www.vinted.fr/femmes/chaussures/baskets-2632/2910551155-adidas-gazelle-decon-neuves,Chaussures,Baskets,73.0,38,5,"MARRON, ROSE",91,0.0
344,Veste Adidas Vintage,https://www.vinted.fr/hombre/ropa/abrigos-y-chaquetas/chaquetas/cortavientos/2899768886-veste-adidas-vintage,Vestes,Vestes coupe-vent,35.0,XL,3,"NOIR, ROUGE",94,6.0
345,Veste adidas bleu,https://www.vinted.fr/hommes/vetements/sweats-and-pulls/pulls-a-capuche-avec-zip/2907871332-veste-adidas-bleu,Sweats & pulls,Pulls à capuche avec zip,15.0,S,4,MARINE,85,2.0
346,Pull Adidas Vintage,https://www.vinted.fr/hommes/vetements/sweats-and-pulls/pulls-et-pulls-a-capuche/2906154609-pull-adidas-vintage,Sweats & pulls,Pulls et pulls à capuche,12.0,S,3,"JAUNE, BLEU",81,1.0
347,Ensemble adidas ol dembele,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2912758551-ensemble-adidas-ol-dembele,Garçons,Vêtements de sport,15.0,12 ANS / 146-152 CM,3,"NOIR, ROUGE",16,0.0
348,Veste du Real de Madrid,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/vetements-dexterieur/2883404060-veste-du-real-de-madrid,Vêtements de sport & accessoires,Vêtements d'extérieur,20.0,S,4,"BLEU, MARINE",51,4.0
349,"Basket adidas sleek tissue noir t41,2",https://www.vinted.fr/femmes/chaussures/baskets-2632/2910695210-basket-adidas-sleek-tissue-noir-t412,Chaussures,Baskets,15.0,41.5,3,"NOIR, ARGENTÉ",79,1.0
350,Jogging Adidas,https://www.vinted.fr/femmes/vetements/vetements-de-sport/survetements/2908452820-jogging-adidas,Vêtements de sport,Survêtements,40.0,S / 36 / 8,3,CORAIL,23,4.0
351,Adidas très bon état pointure 41,https://www.vinted.fr/hommes/chaussures/baskets/2910159605-adidas-tres-bon-etat-pointure-41,Chaussures,Baskets,39.0,41,3,BLANC,166,1.0
352,Basket adidas neuves,https://www.vinted.fr/enfants/garcons/chaussures/chaussures-de-sport/chaussures-de-basket/2900061192-basket-adidas-neuves,Chaussures de sport,Chaussures de basket,25.0,37,5,NOIR,70,0.0
353,Protège tibia Adidas,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/accessoires-de-sports/protections/2908429936-protege-tibia-adidas,Accessoires de sports,Protections,13.0,S,4,"NOIR, BLANC",30,2.0
354,🎁 ensemble Adidas 🎁,https://www.vinted.fr/femmes/vetements/vetements-de-sport/survetements/2914484992-ensemble-adidas,Vêtements de sport,Survêtements,45.0,S / 36 / 8,3,ROUGE,183,5.0
355,Adidas Forum Bold,https://www.vinted.fr/enfants/filles/chaussures/baskets/baskets-a-lacets/2869683676-adidas-forum-bold,Baskets,Baskets à lacets,40.0,38,2,"BLANC, ROSE",68,1.0
356,Veste Adidas,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/pulls-and-sweats/2909853211-veste-adidas,Vêtements de sport & accessoires,Pulls & sweats,28.0,M,3,"BLEU, CRÈME",77,0.0
357,2 survêtement garçon,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2874907386-2-survetement-garcon,Garçons,Vêtements de sport,12.0,3-6 MOIS / 62-68 CM,3,"NOIR, MULTICOLORE",29,1.0
358,Sweat Adidas Vintage,https://www.vinted.fr/hommes/vetements/sweats-and-pulls-1811/2903317697-sweat-adidas-vintage,Sweats & pulls,Sweats,35.0,L,3,GRIS,97,11.0
359,Maillot de football Algérie,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/autres/2889553231-maillot-de-football-algerie,Vêtements de sport & accessoires,Autres,15.0,S,1,"VERT, BLANC",52,1.0
360,Veste adidas,https://www.vinted.fr/enfants/filles/pulls-and-sweats/gilets-zippes/2876539291-veste-adidas,Pulls & sweats,Gilets zippés,5.0,18-24 MOIS / 86-92 CM,3,ROSE,62,8.0
361,Ensemble de jogging Adidas femme taille S,https://www.vinted.fr/femmes/vetements/vetements-de-sport/survetements/2911604174-ensemble-de-jogging-adidas-femme-taille-s,Vêtements de sport,Survêtements,38.0,S / 36 / 8,3,"NOIR, BLANC",238,2.0
362,Adidas - Jogging rouge,https://www.vinted.fr/femmes/vetements/vetements-de-sport/survetements/2531111565-adidas-jogging-rouge,Vêtements de sport,Survêtements,65.0,XXS / 32 / 4,4,"ROUGE, BLANC",15,0.0
363,Ensemble Adidas,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2831608687-ensemble-adidas,Garçons,Vêtements de sport,9.0,1-3 MOIS / 56-62 CM,3,BLEU,56,6.0
364,Tee shirt adidas,https://www.vinted.fr/femmes/vetements/hauts-and-t-shirts/t-shirts/2917289084-tee-shirt-adidas,Hauts et t-shirts,T-shirts,10.0,M / 38 / 10,3,ROUGE,2,2.0
365,Adidas bon état pointure 42,https://www.vinted.fr/hommes/chaussures/baskets/2909629285-adidas-bon-etat-pointure-42,Chaussures,Baskets,39.0,42,2,BLANC,137,2.0
366,Veste type k-way adidas,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2140985083-veste-type-k-way-adidas,Vêtements de sport & accessoires,Survêtements,7.0,S,3,"NOIR, ROUGE",237,1.0
367,Survêtement de la Juventus,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2900093935-survetement-de-la-juventus,Vêtements de sport & accessoires,Survêtements,20.0,S,3,"GRIS, BLANC",91,2.0
368,Ensemble adidas,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2916038690-ensemble-adidas,Garçons,Vêtements de sport,8.0,11 ANS / 140-146 CM,3,MARINE,20,0.0
369,Baskets adidas garçon 24,https://www.vinted.fr/enfants/garcons/chaussures/chaussures-de-sport/chaussures-de-course/2911775565-baskets-adidas-garcon-24,Chaussures de sport,Chaussures de course,15.0,24,3,"VERT, BLANC",115,3.0
370,Adidas Campus 00s,https://www.vinted.fr/heren/schoenen/sneakers/2915972081-adidas-campus-00s,Chaussures,Baskets,130.0,42.5,5,"VERT, VERT FONCÉ",33,3.0
371,Sweat capuche,https://www.vinted.fr/femmes/vetements/sweats-and-sweats-a-capuche-196/2917370302-sweat-capuche,Sweats et sweats à capuche,Sweats & sweats à capuche,20.0,XXS / 32 / 4,3,"NOIR, ROSE",1,1.0
372,Veste Adidas Vintage,https://www.vinted.fr/hommes/vetements/manteaux-and-vestes/vestes/vestes-coupe-vent/2903372364-veste-adidas-vintage,Vestes,Vestes coupe-vent,35.0,S,3,"NOIR, ROUGE",86,9.0
373,Baskets Adidas Stan Smith enfants,https://www.vinted.fr/enfants/garcons/chaussures/baskets/baskets-a-scratch/2900104625-baskets-adidas-stan-smith-enfants,Baskets,Baskets à scratch,15.0,28,1,BLANC,142,3.0
374,Jogging Adidas taille S,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2915797405-jogging-adidas-taille-s,Vêtements de sport & accessoires,Survêtements,15.0,S,3,NOIR,16,6.0
375,Crampons adidas,https://www.vinted.fr/men/shoes/sports-shoes/football-boots/2907676002-crampons-adidas,Chaussures de sport,Chaussures de foot,110.0,44,3,BLANC,551,11.0
376,Chaussure adidas,https://www.vinted.fr/hommes/chaussures/baskets/2903200166-chaussure-adidas,Chaussures,Baskets,15.0,41,2,"NOIR, BLANC",67,5.0
377,Ensemble adidas,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2845096402-ensemble-adidas,Garçons,Vêtements de sport,20.0,12 ANS / 146-152 CM,3,"NOIR, GRIS",40,7.0
